Country,Project_Num,Aircraft_Num
Algeria,1,0
Antigua,1,0
Australia,22,0
Austria,4,0
Belgium,8,0
Bolivia,3,0
Brazil,7,0
Bulgaria,1,0
CHINA,9,0
Canada,9,0
Chile,8,0
China,20,5
Czechoslovakia,7,0
Denmark,4,0
Egypt,4,0
El Salvador,1,0
Federal Republic of Germany,1,0
Finland,1,0
France,257,8
Germany,150,31
Great Britain,13,0
Greece,2,0
Guatemala,2,0
Holland,1,0
Hungary,2,0
Ireland,3,0
Isreal,1,0
Italy,43,2
Jamaica,2,0
Japan,87,49
Korea,1,0
Kuwait,1,0
MALAYSIA,11,0
Malaysia,1,0
Mexico,9,0
Mozambique,1,0
Netherlands,4,0
Poland,10,0
Portugal,1,0
Republic of the Philippines,5,0
Romania,1,0
Russia,2,0
Russian Federation,1,0
Russian Federation.,1,0
Singapore,1,0
South Africa,2,0
Soviet,1,0
Spain,6,0
Sweden,25,0
Switzerland,35,0
Taiwan,1,0
The Netherlands,1,0
Trinidad and Tobago,6,0
USSR,5,0
Union of Soviet Socialist Republics,1,0
United Kingdom,224,21
United Kingdom of Sweden and Norway,1,0
United States of America,3161,478
Unknown,28,0
Yugoslavia,4,0
brazil,1,0